,idx,charger_type,daily_usage_2,peak_usage_2,daily_usage_3,peak_usage_3,type_2_rating,type_3_rating,type_2_nos,type_3_nos,energy_usage,uptime
0,0,Tata Power,83.4,144.0,21.2,48.0,10,250,6,2,542.8,110
1,1,Tata Power,136.8,144.0,10.2,26.52,20,200,6,2,841.2,65
2,2,Tata Power,118.0,120.0,19.1,22.92,10,300,5,1,609.1,35
3,3,Tata Power,88.5,120.0,34.0,48.0,22,400,5,2,510.5,20
4,4,Tata Power,21.8,48.0,8.4,40.32,15,200,2,3,68.8,70
5,5,Tata Power,8.8,66.88,37.5,72.0,20,250,4,3,147.7,155
6,6,Tata Power,23.7,72.0,4.2,10.5,15,250,3,1,75.3,60
7,7,Tata Power,132.6,144.0,13.4,34.84,8,300,6,2,822.4,100
8,8,Tata Power,41.6,96.0,13.2,26.4,10,300,4,2,192.8,180
9,9,Tata Power,110.0,120.0,19.7,24.0,10,200,5,1,569.7,95
10,10,Tata Power,23.0,48.0,21.9,24.0,4,400,2,1,67.9,0
11,11,Tata Power,47.0,120.0,16.0,24.0,8,450,5,1,251.0,125
12,12,Tata Power,15.9,72.0,19.6,48.0,4,250,3,2,86.9,90
13,13,Tata Power,3.1,3.72,10.4,24.0,22,450,1,1,13.5,105
14,14,Tata Power,70.2,144.0,65.1,72.0,22,300,6,3,616.5,30
15,15,Tata Power,20.8,96.0,6.3,13.86,15,450,4,1,89.5,195
16,16,Tata Power,27.6,48.0,52.8,72.0,10,250,2,3,213.6,85
17,17,Tata Power,39.6,144.0,19.0,48.0,8,200,6,2,275.6,55
18,18,Tata Power,56.5,120.0,4.4,5.28,15,350,5,1,286.9,170
19,19,Tata Power,23.1,24.0,20.9,24.0,8,450,1,1,44.0,5
20,20,Tata Power,18.0,120.0,22.0,24.0,4,350,5,1,112.0,5
21,21,Tata Power,4.2,11.76,17.7,24.0,20,350,2,1,26.1,25
22,22,Tata Power,4.4,10.56,9.2,22.08,22,200,1,1,13.6,185
23,23,Tata Power,84.0,96.0,24.0,72.0,22,300,4,3,408.0,30
24,24,Tata Power,79.2,96.0,9.0,37.8,22,200,4,2,334.8,35
25,25,Tata Power,142.8,144.0,8.4,35.28,10,250,6,2,873.6,20
26,26,Tata Power,119.4,144.0,17.6,48.0,10,300,6,2,751.6,80
27,27,Tata Power,16.9,24.0,20.2,24.0,22,300,1,1,37.1,170
28,28,Tata Power,25.8,72.0,13.8,72.0,22,200,3,3,118.8,105
29,29,Tata Power,5.1,33.660000000000004,33.8,48.0,10,400,3,2,82.9,130
30,30,Tata Power,99.5,120.0,4.2,13.44,20,250,5,2,505.9,185
