,idx,charger_type,daily_usage_2,peak_usage_2,daily_usage_3,peak_usage_3,type_2_rating,type_3_rating,type_2_nos,type_3_nos,energy_usage,uptime
0,0,Tata Power,40.4,48.0,10.3,10.3,15,250,2,1,91.1,40
1,1,Tata Power,116.4,144.0,15.0,21.0,20,350,6,1,713.4,20
2,2,Tata Power,69.2,96.0,5.6,17.92,10,400,4,2,288.0,195
3,3,Tata Power,20.7,20.7,44.2,48.0,10,250,1,2,109.1,0
4,4,Tata Power,11.4,22.8,4.2,14.28,10,200,2,2,31.2,10
5,5,Tata Power,12.3,24.0,10.6,16.96,4,350,1,1,22.9,60
6,6,Tata Power,8.0,10.4,7.4,25.16,15,350,1,2,22.8,180
7,7,Tata Power,15.8,31.6,22.1,24.0,15,200,2,1,53.7,55
8,8,Tata Power,19.2,72.0,25.4,48.0,15,250,3,2,108.4,160
9,9,Tata Power,37.6,48.0,70.8,72.0,22,300,2,3,287.6,90
10,10,Tata Power,36.6,48.0,36.6,48.0,20,250,2,2,146.4,75
11,11,Tata Power,70.2,144.0,65.4,72.0,20,250,6,3,617.4,20
12,12,Tata Power,100.0,120.0,27.9,72.0,10,200,5,3,583.7,45
13,13,Tata Power,21.2,96.0,2.6,3.12,20,400,4,1,87.4,145
14,14,Tata Power,66.0,96.0,40.5,72.0,10,300,4,3,385.5,10
15,15,Tata Power,52.4,96.0,11.0,24.0,10,200,4,1,220.6,110
16,16,Tata Power,40.6,48.0,16.0,24.0,8,300,2,1,97.2,70
17,17,Tata Power,96.5,120.0,17.5,24.0,22,300,5,1,500.0,25
18,18,Tata Power,38.1,72.0,14.8,41.44,15,250,3,2,143.9,5
19,19,Tata Power,44.7,72.0,22.7,24.0,10,250,3,1,156.8,70
20,20,Tata Power,12.4,96.0,11.1,19.98,15,200,4,1,60.7,60
21,21,Tata Power,13.6,48.0,28.0,48.0,8,450,2,2,83.2,130
22,22,Tata Power,21.2,96.0,16.6,24.0,20,350,4,1,101.4,190
23,23,Tata Power,139.8,144.0,15.2,16.72,8,300,6,1,854.0,35
24,24,Tata Power,87.6,144.0,3.0,6.6,4,250,6,2,531.6,140
25,25,Tata Power,27.6,96.0,2.8,5.32,15,250,4,1,113.2,155
26,26,Tata Power,51.0,144.0,2.3,3.22,4,250,6,1,308.3,145
27,27,Tata Power,4.6,9.2,5.6,25.76,10,350,2,2,20.4,130
28,28,Tata Power,3.9,25.740000000000002,27.0,72.0,22,200,3,3,92.7,5
29,29,Tata Power,37.0,120.0,25.2,72.0,15,400,5,3,260.6,120
30,30,Tata Power,90.4,96.0,17.5,24.0,8,200,4,1,379.1,75
31,31,Tata Power,95.5,120.0,21.6,24.0,15,450,5,1,499.1,180
32,32,Tata Power,107.0,120.0,22.8,72.0,10,200,5,3,603.4,40
33,33,Tata Power,20.1,72.0,42.8,48.0,22,400,3,2,145.9,140
34,34,Tata Power,84.4,96.0,58.2,72.0,15,300,4,3,512.2,110
35,35,Tata Power,38.8,48.0,70.2,72.0,22,400,2,3,288.2,140
36,36,Tata Power,132.6,144.0,43.6,48.0,10,350,6,2,882.8,150
37,37,Tata Power,136.2,144.0,39.3,72.0,4,450,6,3,935.1,95
38,38,Tata Power,101.0,120.0,57.6,72.0,4,250,5,3,677.8,170
39,39,Tata Power,64.4,96.0,59.7,72.0,20,300,4,3,436.7,115
40,40,Tata Power,22.8,24.0,11.8,24.0,4,350,1,1,34.6,75
41,41,Tata Power,15.4,30.8,47.4,48.0,8,250,2,2,125.6,110
42,42,Tata Power,137.4,144.0,15.0,48.0,15,250,6,2,854.4,45
43,43,Tata Power,2.0,6.0,4.6,5.52,22,350,2,1,8.6,180
44,44,Tata Power,5.6,25.76,40.0,48.0,10,200,2,2,91.2,10
45,45,Tata Power,89.6,96.0,13.3,19.95,4,300,4,1,371.7,165
46,46,Tata Power,56.4,144.0,2.1,3.36,15,250,6,1,340.5,80
47,47,Tata Power,12.9,46.44,66.9,72.0,20,350,3,3,239.4,15
48,48,Tata Power,20.6,24.0,46.4,48.0,22,200,1,2,113.4,30
49,49,Tata Power,11.1,72.0,19.8,71.28,10,250,3,3,92.7,115
50,50,Tata Power,53.2,96.0,22.2,24.0,4,450,4,1,235.0,40
51,51,Tata Power,8.2,37.72,13.5,18.9,22,250,2,1,29.9,10
52,52,Tata Power,76.5,120.0,13.8,45.54,8,300,5,3,423.9,120
53,53,Tata Power,10.3,12.36,18.4,48.0,4,450,1,2,47.1,45
54,54,Tata Power,58.4,96.0,18.7,24.0,20,400,4,1,252.3,105
55,55,Tata Power,46.5,120.0,70.5,72.0,15,250,5,3,444.0,175
56,56,Tata Power,85.2,144.0,31.0,48.0,10,350,6,2,573.2,25
57,57,Tata Power,21.8,47.96,12.7,15.24,22,350,2,1,56.3,90
58,58,Tata Power,11.2,24.0,65.4,72.0,20,450,1,3,207.4,65
59,59,Tata Power,80.8,96.0,35.8,48.0,10,200,4,2,394.8,90
60,60,Tata Power,28.0,48.0,5.6,11.2,22,350,2,2,67.2,185
61,61,Tata Power,10.8,51.84,17.0,22.1,20,400,4,1,60.2,110
62,62,Tata Power,41.2,96.0,5.8,15.08,15,350,4,2,176.4,70
63,63,Tata Power,51.0,144.0,5.7,11.97,10,250,6,1,311.7,120
64,64,Tata Power,4.0,33.6,8.6,15.48,4,300,4,1,24.6,75
65,65,Tata,42.2,48.0,33.4,48.0,20,450,2,2,151.2,85
66,66,Tata,52.4,96.0,11.3,22.6,15,300,4,1,220.9,70
67,67,Tata,12.8,92.16,4.6,11.5,15,400,4,1,55.8,5
68,68,Tata,33.2,48.0,35.8,48.0,8,450,2,2,138.0,165
69,69,Tata,41.1,72.0,21.6,72.0,8,400,3,3,188.1,120
70,70,Tata,5.6,6.16,36.4,48.0,8,450,1,2,78.4,195
71,71,Tata,7.5,75.0,6.5,9.1,10,350,5,1,44.0,100
72,72,Tata,41.6,96.0,6.2,7.44,22,400,4,1,172.6,105
73,73,Tata,91.6,96.0,35.8,48.0,15,300,4,2,438.0,105
74,74,Tata,90.0,144.0,46.8,48.0,10,350,6,2,633.6,95
75,75,Tata,42.0,144.0,15.4,16.94,22,200,6,1,267.4,185
76,76,Tata,6.4,15.36,27.0,48.0,15,350,2,2,66.8,110
77,77,Tata,113.0,120.0,21.9,72.0,8,350,5,3,630.7,15
78,78,Tata Power,38.6,48.0,57.6,72.0,4,200,2,3,250.0,185
79,79,Tata Power,97.2,144.0,65.7,72.0,4,300,6,3,780.3,95
80,80,Others,7.5,38.25,56.7,72.0,22,450,3,3,192.6,190
81,81,Others,11.2,24.0,9.8,31.36,8,400,1,2,30.8,15
82,82,Tata Power,52.5,120.0,32.8,48.0,8,400,5,2,328.1,165
83,83,Tata Power,13.5,21.6,37.6,48.0,15,350,1,2,88.7,45
84,84,Tata Power,38.2,48.0,19.5,24.0,10,400,2,1,95.9,15
85,85,Tata Power,135.0,144.0,44.7,72.0,20,300,6,3,944.1,15
86,86,Tata Power,137.4,144.0,4.9,4.9,15,400,6,1,829.3,150
87,87,Tata Power,16.4,72.16,8.4,26.88,4,400,4,2,82.4,110
88,88,Tata Power,30.9,72.0,8.4,18.48,10,200,3,1,101.1,115
89,89,Tata Power,4.2,6.3,69.9,72.0,10,450,1,3,213.9,110
90,90,Tata Power,11.3,22.6,68.7,72.0,15,450,1,3,217.4,185
91,91,Tata Power,50.4,144.0,18.9,24.0,15,300,6,1,321.3,110
92,92,Tata Power,22.4,48.0,9.7,15.52,4,350,2,1,54.5,180
93,93,Tata Power,115.0,120.0,19.4,38.8,8,200,5,2,613.8,155
94,94,Tata Power,106.8,144.0,3.7,3.7,15,300,6,1,644.5,145
95,95,Tata Power,21.3,72.0,18.6,24.0,20,400,3,1,82.5,145
96,96,Tata Power,69.2,96.0,8.0,10.4,15,350,4,1,284.8,115
97,97,Tata Power,72.5,120.0,38.4,72.0,22,200,5,3,477.7,60
98,98,Tata Power,41.1,72.0,31.8,48.0,20,250,3,2,186.9,175
99,99,Tata Power,51.6,144.0,8.4,26.88,10,200,6,2,326.4,80
100,100,Tata Power,21.5,21.5,26.0,48.0,22,400,1,2,73.5,20
101,101,Tata Power,129.0,144.0,1.7,3.23,10,250,6,1,775.7,175
102,102,Tata Power,3.3,12.870000000000001,36.0,72.0,15,200,3,3,117.9,170
103,103,Tata Power,127.8,144.0,30.4,48.0,20,400,6,2,827.6,100
104,104,Tata Power,1.7,3.4,11.5,16.1,4,350,1,1,13.2,140
105,105,Tata Power,103.0,120.0,12.8,46.08,22,400,5,2,540.6,145
106,106,Tata Power,43.0,48.0,40.2,72.0,10,250,2,3,206.6,140
107,107,Tata Power,49.8,72.0,6.0,8.4,20,350,3,1,155.4,140
108,108,Tata Power,6.4,15.36,7.2,36.72,10,200,2,3,34.4,175
109,109,Tata Power,54.6,144.0,70.5,72.0,8,450,6,3,539.1,135
110,110,Tata Power,66.0,72.0,44.8,48.0,10,400,3,2,287.6,40
111,111,Tata Power,26.1,72.0,3.4,7.48,4,200,3,2,85.1,70
112,112,Tata Power,62.8,96.0,7.5,12.75,15,350,4,1,258.7,10
